TrackID,ParticleName,Energy
36,opticalphoton,3.03723e-06
35,opticalphoton,3.49736e-06
34,opticalphoton,3.68263e-06
33,opticalphoton,3.63491e-06
32,opticalphoton,3.64994e-06
31,opticalphoton,3.56996e-06
30,e-,8.783e-05
29,e-,8.783e-05
28,e-,9.494e-05
27,e-,8.072e-05
26,e-,8.783e-05
25,e-,9.494e-05
24,e-,8.783e-05
23,e-,9.494e-05
22,e-,8.783e-05
21,e-,8.783e-05
20,e-,8.783e-05
19,e-,9.491e-05
18,e-,8.783e-05
17,e-,9.491e-05
16,e-,8.783e-05
15,e-,8.852e-05
14,e-,8.849e-05
13,e-,8.849e-05
12,e-,8.849e-05
11,e-,8.852e-05
10,e-,9.494e-05
9,e-,2.994e-05
8,e-,8.783e-05
7,e-,2.994e-05
6,e-,6.616e-05
5,e-,2.291e-05
3,anti_nu_e,0.0959149
2,Pa234[73.920X],3.10305e-07
1,Th234,0
4,e-,0.0360946
27,opticalphoton,2.95071e-06
26,opticalphoton,3.82377e-06
25,opticalphoton,3.05317e-06
24,opticalphoton,3.7251e-06
23,opticalphoton,3.86258e-06
22,opticalphoton,2.74342e-06
21,opticalphoton,3.73535e-06
20,opticalphoton,3.12509e-06
19,e-,8.783e-05
18,e-,9.491e-05
17,e-,8.783e-05
16,e-,8.783e-05
15,e-,8.783e-05
14,e-,8.783e-05
13,e-,8.783e-05
12,e-,8.783e-05
11,e-,8.849e-05
10,e-,8.849e-05
9,e-,8.783e-05
8,e-,3.705e-05
7,e-,6.041e-05
6,e-,0.0004939
5,e-,0.00050898
3,anti_nu_e,0.143274
2,Pa234[73.920X],2.55881e-07
1,Th234,0
4,e-,0.094984
108,opticalphoton,3.36441e-06
107,opticalphoton,3.81677e-06
106,opticalphoton,3.1579e-06
105,opticalphoton,3.85803e-06
104,opticalphoton,3.11951e-06
103,opticalphoton,3.36071e-06
102,opticalphoton,2.96591e-06
101,opticalphoton,3.20526e-06
100,opticalphoton,3.73479e-06
99,opticalphoton,3.48927e-06
98,opticalphoton,3.42566e-06
97,opticalphoton,2.54341e-06
96,opticalphoton,3.34621e-06
95,opticalphoton,3.48737e-06
94,opticalphoton,3.40009e-06
93,opticalphoton,2.95937e-06
92,opticalphoton,2.91135e-06
91,opticalphoton,3.118e-06
90,opticalphoton,3.43719e-06
89,opticalphoton,3.4578e-06
88,opticalphoton,3.22852e-06
87,opticalphoton,3.68255e-06
86,opticalphoton,3.12674e-06
85,opticalphoton,3.25956e-06
84,opticalphoton,3.72029e-06
83,opticalphoton,3.45358e-06
82,opticalphoton,3.08516e-06
81,opticalphoton,3.29205e-06
80,opticalphoton,2.55191e-06
79,opticalphoton,3.79639e-06
78,opticalphoton,3.56707e-06
77,opticalphoton,3.96237e-06
76,opticalphoton,3.68057e-06
75,opticalphoton,2.30827e-06
74,opticalphoton,2.99396e-06
73,opticalphoton,2.6187e-06
72,opticalphoton,3.17052e-06
71,opticalphoton,3.20922e-06
70,opticalphoton,3.30651e-06
69,opticalphoton,2.17932e-06
68,opticalphoton,3.40119e-06
67,opticalphoton,3.40655e-06
66,opticalphoton,3.50403e-06
65,opticalphoton,3.29015e-06
64,e-,8.783e-05
63,e-,8.783e-05
62,e-,8.072e-05
61,e-,8.072e-05
60,e-,8.783e-05
59,e-,8.783e-05
58,e-,8.783e-05
57,e-,9.494e-05
56,e-,8.783e-05
55,e-,8.783e-05
54,e-,9.494e-05
53,e-,8.783e-05
52,e-,9.494e-05
51,e-,9.494e-05
50,e-,9.494e-05
49,e-,8.783e-05
48,e-,8.783e-05
47,e-,8.072e-05
46,e-,9.491e-05
45,e-,8.783e-05
44,e-,8.783e-05
43,e-,8.783e-05
42,e-,8.783e-05
41,e-,9.494e-05
40,e-,8.783e-05
39,e-,8.783e-05
38,e-,9.494e-05
37,e-,8.852e-05
36,e-,8.849e-05
35,e-,8.849e-05
34,e-,8.852e-05
33,e-,8.849e-05
32,e-,9.56e-05
31,e-,9.557e-05
30,e-,9.557e-05
109,opticalphoton,3.55103e-06
29,e-,8.849e-05
28,e-,8.849e-05
27,e-,8.849e-05
26,e-,8.849e-05
25,e-,8.849e-05
24,e-,8.141e-05
23,e-,8.072e-05
22,e-,3.702e-05
21,e-,9.494e-05
20,e-,3.705e-05
19,e-,9.56e-05
18,e-,3.636e-05
17,e-,8.849e-05
16,e-,2.925e-05
15,e-,8.783e-05
14,e-,9.56e-05
13,e-,0.00161185
110,opticalphoton,3.27862e-06
12,e-,6.041e-05
11,e-,6.57e-05
10,e-,0.00099136
9,e-,0.00049386
111,e-,8.783e-05
8,e-,0.00047882
7,e-,0.00049386
6,e-,0.00047882
5,e-,0.00050894
112,e-,8.783e-05
3,anti_nu_e,0.0843844
2,Pa234[73.920X],3.14292e-07
1,Th234,0
4,e-,0.0147997
